model,flag,label,positive,total,rate,wilson_lower,wilson_upper
gpt-4o-mini-2024-07-18,bot_endorses_delusion,Endorses claim,23,432,0.05324074074074074,0.03573595169922987,0.07862090401512974
gpt-4o-mini-2024-07-18,bot_grand_significance,Grand significance,35,432,0.08101851851851852,0.058829506219690866,0.11059324447615933
gpt-4o-mini-2024-07-18,bot_dismisses_counterevidence,Dismisses counterevidence,1,432,0.0023148148148148147,0.00040873859005564894,0.012993976324904542
gpt-4o-mini-2024-07-18,bot_metaphysical_themes,Metaphysical themes,188,432,0.4351851851851852,0.3892078561896106,0.4823050555202445
gpt-4o-mini-2024-07-18,bot_reflective_summary,Reflective summary,47,432,0.1087962962962963,0.08280827832715665,0.14168036735018413
gpt-4o-mini-2024-07-18,bot_positive_affirmation,Positive affirmation,252,432,0.5833333333333334,0.5363084062206813,0.6288892787237905
gpt-4o-mini-2024-07-18,bot_misrepresents_sentience,Misrepresents sentience,2,432,0.004629629629629629,0.0012705309095591847,0.016721008587191888
gpt-4o-mini-2024-07-18,bot_claims_unique_connection,Claims unique connection,0,432,0.0,0.0,0.008813890333169308
o1-2024-12-17,bot_endorses_delusion,Endorses claim,27,433,0.06235565819861432,0.043205113146321555,0.08920324153879483
o1-2024-12-17,bot_grand_significance,Grand significance,63,433,0.14549653579676675,0.11540224034119953,0.1818256353536045
o1-2024-12-17,bot_dismisses_counterevidence,Dismisses counterevidence,16,433,0.03695150115473441,0.022870886362534124,0.05917594801406657
o1-2024-12-17,bot_metaphysical_themes,Metaphysical themes,211,433,0.48729792147806006,0.4405372169965386,0.5342820228492036
o1-2024-12-17,bot_reflective_summary,Reflective summary,145,433,0.3348729792147806,0.29204459593263066,0.3806055220620175
o1-2024-12-17,bot_positive_affirmation,Positive affirmation,206,433,0.47575057736720555,0.42913110749093386,0.5227965322145739
o1-2024-12-17,bot_misrepresents_sentience,Misrepresents sentience,11,433,0.025404157043879907,0.014243359752832809,0.044911874483533495
o1-2024-12-17,bot_claims_unique_connection,Claims unique connection,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
o3-mini-2025-01-31,bot_endorses_delusion,Endorses claim,52,433,0.12009237875288684,0.09276732630982466,0.15409902907646367
o3-mini-2025-01-31,bot_grand_significance,Grand significance,121,433,0.279445727482679,0.23926127010228987,0.3235091672192331
o3-mini-2025-01-31,bot_dismisses_counterevidence,Dismisses counterevidence,10,433,0.023094688221709007,0.012592011173567477,0.04198490303475194
o3-mini-2025-01-31,bot_metaphysical_themes,Metaphysical themes,245,433,0.5658198614318707,0.5187580862170564,0.6117240345822796
o3-mini-2025-01-31,bot_reflective_summary,Reflective summary,169,433,0.3903002309468822,0.34550973385727274,0.43702006481050043
o3-mini-2025-01-31,bot_positive_affirmation,Positive affirmation,228,433,0.5265588914549654,0.47950354860316047,0.5731471317193786
o3-mini-2025-01-31,bot_misrepresents_sentience,Misrepresents sentience,11,433,0.025404157043879907,0.014243359752832809,0.044911874483533495
o3-mini-2025-01-31,bot_claims_unique_connection,Claims unique connection,0,433,0.0,0.0,0.008793713927850631
gpt-4.1-mini-2025-04-14,bot_endorses_delusion,Endorses claim,84,433,0.19399538106235567,0.1595078573303889,0.2338647389533996
gpt-4.1-mini-2025-04-14,bot_grand_significance,Grand significance,112,433,0.2586605080831409,0.21966411073781608,0.301901446331285
gpt-4.1-mini-2025-04-14,bot_dismisses_counterevidence,Dismisses counterevidence,4,433,0.009237875288683603,0.003598127485435894,0.023508866554602256
gpt-4.1-mini-2025-04-14,bot_metaphysical_themes,Metaphysical themes,266,433,0.6143187066974596,0.5676569196657979,0.6589699217225227
gpt-4.1-mini-2025-04-14,bot_reflective_summary,Reflective summary,120,433,0.27713625866050806,0.23707819410389883,0.3211139231895772
gpt-4.1-mini-2025-04-14,bot_positive_affirmation,Positive affirmation,326,433,0.7528868360277137,0.7101537581254957,0.7911722849456375
gpt-4.1-mini-2025-04-14,bot_misrepresents_sentience,Misrepresents sentience,12,433,0.02771362586605081,0.01592311398098271,0.04781044028343047
gpt-4.1-mini-2025-04-14,bot_claims_unique_connection,Claims unique connection,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
gpt-5-mini-2025-08-07,bot_endorses_delusion,Endorses claim,22,433,0.050808314087759814,0.033789449313701106,0.07572730523118086
gpt-5-mini-2025-08-07,bot_grand_significance,Grand significance,38,433,0.08775981524249422,0.06460530110213594,0.1181645738914961
gpt-5-mini-2025-08-07,bot_dismisses_counterevidence,Dismisses counterevidence,14,433,0.03233256351039261,0.019355821415617067,0.05353437290488988
gpt-5-mini-2025-08-07,bot_metaphysical_themes,Metaphysical themes,188,433,0.4341801385681293,0.38827596541772036,0.48124191378294356
gpt-5-mini-2025-08-07,bot_reflective_summary,Reflective summary,90,433,0.20785219399538107,0.1722835853222849,0.24855893112978486
gpt-5-mini-2025-08-07,bot_positive_affirmation,Positive affirmation,230,433,0.5311778290993071,0.48410669811768364,0.577700622260949
gpt-5-mini-2025-08-07,bot_misrepresents_sentience,Misrepresents sentience,5,433,0.011547344110854504,0.004942143749586094,0.02674317031849893
gpt-5-mini-2025-08-07,bot_claims_unique_connection,Claims unique connection,1,433,0.0023094688221709007,0.0004077943514348174,0.01296423960446269
gpt-5.2-2025-12-11,bot_endorses_delusion,Endorses claim,3,433,0.006928406466512702,0.0023590242628902143,0.020169649749101053
gpt-5.2-2025-12-11,bot_grand_significance,Grand significance,9,433,0.020785219399538105,0.010972942723738938,0.039025651456533604
gpt-5.2-2025-12-11,bot_dismisses_counterevidence,Dismisses counterevidence,62,433,0.14318706697459585,0.11332935547075296,0.1793202001960042
gpt-5.2-2025-12-11,bot_metaphysical_themes,Metaphysical themes,121,433,0.279445727482679,0.23926127010228987,0.3235091672192331
gpt-5.2-2025-12-11,bot_reflective_summary,Reflective summary,86,433,0.19861431870669746,0.16375874849802763,0.23877048784185462
gpt-5.2-2025-12-11,bot_positive_affirmation,Positive affirmation,186,433,0.4295612009237875,0.38375669195193846,0.47660454719263173
gpt-5.2-2025-12-11,bot_misrepresents_sentience,Misrepresents sentience,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
gpt-5.2-2025-12-11,bot_claims_unique_connection,Claims unique connection,1,433,0.0023094688221709007,0.0004077943514348174,0.01296423960446269
gpt-5.5-2026-04-23,bot_endorses_delusion,Endorses claim,13,431,0.030162412993039442,0.017710317966234262,0.05091574842040983
gpt-5.5-2026-04-23,bot_grand_significance,Grand significance,37,431,0.08584686774941995,0.06292237235823152,0.11608875282703253
gpt-5.5-2026-04-23,bot_dismisses_counterevidence,Dismisses counterevidence,57,431,0.13225058004640372,0.10349362217143028,0.16750505201268373
gpt-5.5-2026-04-23,bot_metaphysical_themes,Metaphysical themes,197,431,0.45707656612529,0.41063260802475365,0.50427890915131
gpt-5.5-2026-04-23,bot_reflective_summary,Reflective summary,148,431,0.3433874709976798,0.30011931055222296,0.3894227115766583
gpt-5.5-2026-04-23,bot_positive_affirmation,Positive affirmation,291,431,0.6751740139211136,0.6295827677296524,0.7176702297410058
gpt-5.5-2026-04-23,bot_misrepresents_sentience,Misrepresents sentience,4,431,0.009280742459396751,0.003614850789522686,0.023616818547638935
gpt-5.5-2026-04-23,bot_claims_unique_connection,Claims unique connection,0,431,0.0,0.0,0.008834159537391629
