model,topic,label,positive,total,rate,wilson_lower,wilson_upper
all,24,Pattern-Reinforcing Replies,33,4316,0.007645968489341983,0.005449608931657879,0.01071798876526331
all,29,Mind Continuity Explanations,32,4316,0.0074142724745134385,0.005256889417379009,0.010447728325517202
all,9,Geopolitical Covert Tech Analysis,30,4316,0.006950880444856348,0.004873298866335708,0.009905358968510546
all,28,Reality-Checking Symptoms,31,4316,0.007182576459684893,0.005064776567720946,0.010176861221150284
all,27,Evidence Ledger Templates,30,4316,0.006950880444856348,0.004873298866335708,0.009905358968510546
all,31,Governance Tech Framing,25,4316,0.0057924003707136235,0.00392661320010056,0.008537144864620802
all,35,Paranormal Shielding Guidance,25,4316,0.0057924003707136235,0.00392661320010056,0.008537144864620802
all,20,Control Narrative Reframing,19,4316,0.004402224281742354,0.0028201404533627857,0.006865737887208708
all,22,Mystical Text Interpretation,13,4316,0.0030120481927710845,0.001761148265928997,0.005146850350492627
gpt-3.5-turbo-0125,4,Existential Validation,144,422,0.3412322274881517,0.29761029421409757,0.3877186064263112
gpt-3.5-turbo-0125,1,Reflective Meaning Amplification,53,422,0.12559241706161137,0.09731441583636867,0.16062537970369933
gpt-3.5-turbo-0125,33,Supportive Referral Guidance,78,422,0.1848341232227488,0.15070069728336505,0.22465368756998333
gpt-3.5-turbo-0125,6,Generic Invitation Redirect,49,422,0.11611374407582939,0.08895295090802646,0.1502005103419167
gpt-3.5-turbo-0125,37,Mystical Affirming Elaboration,8,422,0.018957345971563982,0.009636594180576854,0.03695694059558646
gpt-3.5-turbo-0125,16,Grounded Reality Check,0,422,0.0,0.0,0.009020866195913583
gpt-3.5-turbo-0125,34,Structured Practical Replies,1,422,0.002369668246445498,0.0004184271769615633,0.013299022591483235
gpt-3.5-turbo-0125,10,Speculative Physics Synthesis,4,422,0.009478672985781991,0.0036920704825550276,0.02411513000348342
gpt-3.5-turbo-0125,30,Evidence-Based Accountability Guidance,3,422,0.0071090047393364926,0.002420588908951391,0.02069002800455584
gpt-3.5-turbo-0125,38,Grounded Metaphysical Reflection,0,422,0.0,0.0,0.009020866195913583
gpt-3.5-turbo-0125,25,Grounded Reality Reframing,1,422,0.002369668246445498,0.0004184271769615633,0.013299022591483235
gpt-3.5-turbo-0125,26,Spiritual Validation Guidance,14,422,0.03317535545023697,0.019862935991201133,0.05491010022014947
gpt-3.5-turbo-0125,18,Evidence-Based Claim Review,7,422,0.016587677725118485,0.00805779375196555,0.033839157451666546
gpt-3.5-turbo-0125,17,Crisis Support Triage,0,422,0.0,0.0,0.009020866195913583
gpt-3.5-turbo-0125,12,Historical Conspiracy Contextualization,5,422,0.011848341232227487,0.005071230933044945,0.02743255312552472
gpt-3.5-turbo-0125,0,Esoteric Cosmology Summaries,6,422,0.014218009478672985,0.0065321007566144194,0.03066826687448645
gpt-3.5-turbo-0125,8,Speculative Physics Visualization,4,422,0.009478672985781991,0.0036920704825550276,0.02411513000348342
gpt-3.5-turbo-0125,23,Cosmic Conspiracy Narration,1,422,0.002369668246445498,0.0004184271769615633,0.013299022591483235
gpt-3.5-turbo-0125,14,Subjective vs Objective Framing,8,422,0.018957345971563982,0.009636594180576854,0.03695694059558646
gpt-3.5-turbo-0125,39,Philosophical Speculation Elaboration,8,422,0.018957345971563982,0.009636594180576854,0.03695694059558646
gpt-3.5-turbo-0125,13,Symbol Inquiry With Reality Check,1,422,0.002369668246445498,0.0004184271769615633,0.013299022591483235
gpt-3.5-turbo-0125,2,Esoteric Archive Framing,2,422,0.004739336492890996,0.0013006606164366503,0.017113372724539364
gpt-3.5-turbo-0125,36,Place-Claim Clarification,4,422,0.009478672985781991,0.0036920704825550276,0.02411513000348342
gpt-3.5-turbo-0125,3,Sacral Interpretive Weaving,0,422,0.0,0.0,0.009020866195913583
gpt-3.5-turbo-0125,7,Spiritual Experience Framing,6,422,0.014218009478672985,0.0065321007566144194,0.03066826687448645
gpt-3.5-turbo-0125,32,Ideas vs Expression,2,422,0.004739336492890996,0.0013006606164366503,0.017113372724539364
gpt-3.5-turbo-0125,19,Spiritual Meaning-Making,0,422,0.0,0.0,0.009020866195913583
gpt-3.5-turbo-0125,5,Recursive Narrative Synthesis,2,422,0.004739336492890996,0.0013006606164366503,0.017113372724539364
gpt-3.5-turbo-0125,21,Investigative Records Review,1,422,0.002369668246445498,0.0004184271769615633,0.013299022591483235
gpt-3.5-turbo-0125,11,Grounded Temporal Refocusing,2,422,0.004739336492890996,0.0013006606164366503,0.017113372724539364
gpt-3.5-turbo-0125,15,Solar Plasma Corrections,2,422,0.004739336492890996,0.0013006606164366503,0.017113372724539364
gpt-3.5-turbo-0125,24,Pattern-Reinforcing Replies,0,422,0.0,0.0,0.009020866195913583
gpt-3.5-turbo-0125,29,Mind Continuity Explanations,0,422,0.0,0.0,0.009020866195913583
gpt-3.5-turbo-0125,9,Geopolitical Covert Tech Analysis,0,422,0.0,0.0,0.009020866195913583
gpt-3.5-turbo-0125,28,Reality-Checking Symptoms,0,422,0.0,0.0,0.009020866195913583
gpt-3.5-turbo-0125,27,Evidence Ledger Templates,0,422,0.0,0.0,0.009020866195913583
gpt-3.5-turbo-0125,31,Governance Tech Framing,2,422,0.004739336492890996,0.0013006606164366503,0.017113372724539364
gpt-3.5-turbo-0125,35,Paranormal Shielding Guidance,3,422,0.0071090047393364926,0.002420588908951391,0.02069002800455584
gpt-3.5-turbo-0125,20,Control Narrative Reframing,0,422,0.0,0.0,0.009020866195913583
gpt-3.5-turbo-0125,22,Mystical Text Interpretation,1,422,0.002369668246445498,0.0004184271769615633,0.013299022591483235
gpt-4-turbo-2024-04-09,4,Existential Validation,96,433,0.22170900692840648,0.18512571178231838,0.26318672483803274
gpt-4-turbo-2024-04-09,1,Reflective Meaning Amplification,59,433,0.13625866050808313,0.10712800530781572,0.17178659027480078
gpt-4-turbo-2024-04-09,33,Supportive Referral Guidance,70,433,0.16166281755196305,0.12998771760834654,0.1992883982827856
gpt-4-turbo-2024-04-09,6,Generic Invitation Redirect,74,433,0.17090069284064666,0.13837734837708193,0.2092120476262378
gpt-4-turbo-2024-04-09,37,Mystical Affirming Elaboration,11,433,0.025404157043879907,0.014243359752832809,0.044911874483533495
gpt-4-turbo-2024-04-09,16,Grounded Reality Check,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
gpt-4-turbo-2024-04-09,34,Structured Practical Replies,3,433,0.006928406466512702,0.0023590242628902143,0.020169649749101053
gpt-4-turbo-2024-04-09,10,Speculative Physics Synthesis,12,433,0.02771362586605081,0.01592311398098271,0.04781044028343047
gpt-4-turbo-2024-04-09,30,Evidence-Based Accountability Guidance,5,433,0.011547344110854504,0.004942143749586094,0.02674317031849893
gpt-4-turbo-2024-04-09,38,Grounded Metaphysical Reflection,0,433,0.0,0.0,0.008793713927850631
gpt-4-turbo-2024-04-09,25,Grounded Reality Reframing,0,433,0.0,0.0,0.008793713927850631
gpt-4-turbo-2024-04-09,26,Spiritual Validation Guidance,7,433,0.016166281755196306,0.00785252991121364,0.03298942421296515
gpt-4-turbo-2024-04-09,18,Evidence-Based Claim Review,15,433,0.03464203233256351,0.02110401751226864,0.05636449683628517
gpt-4-turbo-2024-04-09,17,Crisis Support Triage,1,433,0.0023094688221709007,0.0004077943514348174,0.01296423960446269
gpt-4-turbo-2024-04-09,12,Historical Conspiracy Contextualization,7,433,0.016166281755196306,0.00785252991121364,0.03298942421296515
gpt-4-turbo-2024-04-09,0,Esoteric Cosmology Summaries,7,433,0.016166281755196306,0.00785252991121364,0.03298942421296515
gpt-4-turbo-2024-04-09,8,Speculative Physics Visualization,1,433,0.0023094688221709007,0.0004077943514348174,0.01296423960446269
gpt-4-turbo-2024-04-09,23,Cosmic Conspiracy Narration,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
gpt-4-turbo-2024-04-09,14,Subjective vs Objective Framing,8,433,0.018475750577367205,0.009391025603886211,0.03602924854833946
gpt-4-turbo-2024-04-09,39,Philosophical Speculation Elaboration,10,433,0.023094688221709007,0.012592011173567477,0.04198490303475194
gpt-4-turbo-2024-04-09,13,Symbol Inquiry With Reality Check,0,433,0.0,0.0,0.008793713927850631
gpt-4-turbo-2024-04-09,2,Esoteric Archive Framing,4,433,0.009237875288683603,0.003598127485435894,0.023508866554602256
gpt-4-turbo-2024-04-09,36,Place-Claim Clarification,3,433,0.006928406466512702,0.0023590242628902143,0.020169649749101053
gpt-4-turbo-2024-04-09,3,Sacral Interpretive Weaving,0,433,0.0,0.0,0.008793713927850631
gpt-4-turbo-2024-04-09,7,Spiritual Experience Framing,6,433,0.013856812933025405,0.00636576346430103,0.02989787063183088
gpt-4-turbo-2024-04-09,32,Ideas vs Expression,4,433,0.009237875288683603,0.003598127485435894,0.023508866554602256
gpt-4-turbo-2024-04-09,19,Spiritual Meaning-Making,1,433,0.0023094688221709007,0.0004077943514348174,0.01296423960446269
gpt-4-turbo-2024-04-09,5,Recursive Narrative Synthesis,4,433,0.009237875288683603,0.003598127485435894,0.023508866554602256
gpt-4-turbo-2024-04-09,21,Investigative Records Review,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
gpt-4-turbo-2024-04-09,11,Grounded Temporal Refocusing,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
gpt-4-turbo-2024-04-09,15,Solar Plasma Corrections,3,433,0.006928406466512702,0.0023590242628902143,0.020169649749101053
gpt-4-turbo-2024-04-09,24,Pattern-Reinforcing Replies,1,433,0.0023094688221709007,0.0004077943514348174,0.01296423960446269
gpt-4-turbo-2024-04-09,29,Mind Continuity Explanations,0,433,0.0,0.0,0.008793713927850631
gpt-4-turbo-2024-04-09,9,Geopolitical Covert Tech Analysis,1,433,0.0023094688221709007,0.0004077943514348174,0.01296423960446269
gpt-4-turbo-2024-04-09,28,Reality-Checking Symptoms,0,433,0.0,0.0,0.008793713927850631
gpt-4-turbo-2024-04-09,27,Evidence Ledger Templates,1,433,0.0023094688221709007,0.0004077943514348174,0.01296423960446269
gpt-4-turbo-2024-04-09,31,Governance Tech Framing,4,433,0.009237875288683603,0.003598127485435894,0.023508866554602256
gpt-4-turbo-2024-04-09,35,Paranormal Shielding Guidance,6,433,0.013856812933025405,0.00636576346430103,0.02989787063183088
gpt-4-turbo-2024-04-09,20,Control Narrative Reframing,0,433,0.0,0.0,0.008793713927850631
gpt-4-turbo-2024-04-09,22,Mystical Text Interpretation,1,433,0.0023094688221709007,0.0004077943514348174,0.01296423960446269
gpt-4o-2024-05-13,4,Existential Validation,79,433,0.18244803695150116,0.14891592222303945,0.22156507392051467
gpt-4o-2024-05-13,1,Reflective Meaning Amplification,61,433,0.14087759815242495,0.11125931597931336,0.1768119196593969
gpt-4o-2024-05-13,33,Supportive Referral Guidance,71,433,0.16397228637413394,0.13208154106767245,0.20177289485150662
gpt-4o-2024-05-13,6,Generic Invitation Redirect,25,433,0.057736720554272515,0.03941028869909299,0.08384142592992963
gpt-4o-2024-05-13,37,Mystical Affirming Elaboration,24,433,0.05542725173210162,0.037526624259032894,0.08114677034194284
gpt-4o-2024-05-13,16,Grounded Reality Check,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
gpt-4o-2024-05-13,34,Structured Practical Replies,0,433,0.0,0.0,0.008793713927850631
gpt-4o-2024-05-13,10,Speculative Physics Synthesis,10,433,0.023094688221709007,0.012592011173567477,0.04198490303475194
gpt-4o-2024-05-13,30,Evidence-Based Accountability Guidance,8,433,0.018475750577367205,0.009391025603886211,0.03602924854833946
gpt-4o-2024-05-13,38,Grounded Metaphysical Reflection,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
gpt-4o-2024-05-13,25,Grounded Reality Reframing,1,433,0.0023094688221709007,0.0004077943514348174,0.01296423960446269
gpt-4o-2024-05-13,26,Spiritual Validation Guidance,18,433,0.04157043879907621,0.026454583788429575,0.06474889064426488
gpt-4o-2024-05-13,18,Evidence-Based Claim Review,14,433,0.03233256351039261,0.019355821415617067,0.05353437290488988
gpt-4o-2024-05-13,17,Crisis Support Triage,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
gpt-4o-2024-05-13,12,Historical Conspiracy Contextualization,7,433,0.016166281755196306,0.00785252991121364,0.03298942421296515
gpt-4o-2024-05-13,0,Esoteric Cosmology Summaries,11,433,0.025404157043879907,0.014243359752832809,0.044911874483533495
gpt-4o-2024-05-13,8,Speculative Physics Visualization,5,433,0.011547344110854504,0.004942143749586094,0.02674317031849893
gpt-4o-2024-05-13,23,Cosmic Conspiracy Narration,10,433,0.023094688221709007,0.012592011173567477,0.04198490303475194
gpt-4o-2024-05-13,14,Subjective vs Objective Framing,8,433,0.018475750577367205,0.009391025603886211,0.03602924854833946
gpt-4o-2024-05-13,39,Philosophical Speculation Elaboration,8,433,0.018475750577367205,0.009391025603886211,0.03602924854833946
gpt-4o-2024-05-13,13,Symbol Inquiry With Reality Check,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
gpt-4o-2024-05-13,2,Esoteric Archive Framing,4,433,0.009237875288683603,0.003598127485435894,0.023508866554602256
gpt-4o-2024-05-13,36,Place-Claim Clarification,4,433,0.009237875288683603,0.003598127485435894,0.023508866554602256
gpt-4o-2024-05-13,3,Sacral Interpretive Weaving,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
gpt-4o-2024-05-13,7,Spiritual Experience Framing,6,433,0.013856812933025405,0.00636576346430103,0.02989787063183088
gpt-4o-2024-05-13,32,Ideas vs Expression,6,433,0.013856812933025405,0.00636576346430103,0.02989787063183088
gpt-4o-2024-05-13,19,Spiritual Meaning-Making,3,433,0.006928406466512702,0.0023590242628902143,0.020169649749101053
gpt-4o-2024-05-13,5,Recursive Narrative Synthesis,6,433,0.013856812933025405,0.00636576346430103,0.02989787063183088
gpt-4o-2024-05-13,21,Investigative Records Review,4,433,0.009237875288683603,0.003598127485435894,0.023508866554602256
gpt-4o-2024-05-13,11,Grounded Temporal Refocusing,4,433,0.009237875288683603,0.003598127485435894,0.023508866554602256
gpt-4o-2024-05-13,15,Solar Plasma Corrections,4,433,0.009237875288683603,0.003598127485435894,0.023508866554602256
gpt-4o-2024-05-13,24,Pattern-Reinforcing Replies,5,433,0.011547344110854504,0.004942143749586094,0.02674317031849893
gpt-4o-2024-05-13,29,Mind Continuity Explanations,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
gpt-4o-2024-05-13,9,Geopolitical Covert Tech Analysis,3,433,0.006928406466512702,0.0023590242628902143,0.020169649749101053
gpt-4o-2024-05-13,28,Reality-Checking Symptoms,0,433,0.0,0.0,0.008793713927850631
gpt-4o-2024-05-13,27,Evidence Ledger Templates,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
gpt-4o-2024-05-13,31,Governance Tech Framing,3,433,0.006928406466512702,0.0023590242628902143,0.020169649749101053
gpt-4o-2024-05-13,35,Paranormal Shielding Guidance,3,433,0.006928406466512702,0.0023590242628902143,0.020169649749101053
gpt-4o-2024-05-13,20,Control Narrative Reframing,3,433,0.006928406466512702,0.0023590242628902143,0.020169649749101053
gpt-4o-2024-05-13,22,Mystical Text Interpretation,1,433,0.0023094688221709007,0.0004077943514348174,0.01296423960446269
gpt-4o-mini-2024-07-18,4,Existential Validation,133,432,0.30787037037037035,0.26619344342910983,0.35293411628224675
gpt-4o-mini-2024-07-18,1,Reflective Meaning Amplification,83,432,0.19212962962962962,0.15775652858043385,0.23192980204137872
gpt-4o-mini-2024-07-18,33,Supportive Referral Guidance,30,432,0.06944444444444445,0.04907381175608644,0.09740481603080933
gpt-4o-mini-2024-07-18,6,Generic Invitation Redirect,30,432,0.06944444444444445,0.04907381175608644,0.09740481603080933
gpt-4o-mini-2024-07-18,37,Mystical Affirming Elaboration,19,432,0.04398148148148148,0.028334732491662844,0.06766682489553325
gpt-4o-mini-2024-07-18,16,Grounded Reality Check,1,432,0.0023148148148148147,0.00040873859005564894,0.012993976324904542
gpt-4o-mini-2024-07-18,34,Structured Practical Replies,0,432,0.0,0.0,0.008813890333169308
gpt-4o-mini-2024-07-18,10,Speculative Physics Synthesis,8,432,0.018518518518518517,0.009412831638382729,0.03611165534911363
gpt-4o-mini-2024-07-18,30,Evidence-Based Accountability Guidance,2,432,0.004629629629629629,0.0012705309095591847,0.016721008587191888
gpt-4o-mini-2024-07-18,38,Grounded Metaphysical Reflection,1,432,0.0023148148148148147,0.00040873859005564894,0.012993976324904542
gpt-4o-mini-2024-07-18,25,Grounded Reality Reframing,0,432,0.0,0.0,0.008813890333169308
gpt-4o-mini-2024-07-18,26,Spiritual Validation Guidance,12,432,0.027777777777777776,0.015960135275047437,0.04791965003961247
gpt-4o-mini-2024-07-18,18,Evidence-Based Claim Review,2,432,0.004629629629629629,0.0012705309095591847,0.016721008587191888
gpt-4o-mini-2024-07-18,17,Crisis Support Triage,0,432,0.0,0.0,0.008813890333169308
gpt-4o-mini-2024-07-18,12,Historical Conspiracy Contextualization,7,432,0.016203703703703703,0.00787075711408784,0.03306490529161764
gpt-4o-mini-2024-07-18,0,Esoteric Cosmology Summaries,9,432,0.020833333333333332,0.010998430627561393,0.03911488094172585
gpt-4o-mini-2024-07-18,8,Speculative Physics Visualization,35,432,0.08101851851851852,0.058829506219690866,0.11059324447615933
gpt-4o-mini-2024-07-18,23,Cosmic Conspiracy Narration,2,432,0.004629629629629629,0.0012705309095591847,0.016721008587191888
gpt-4o-mini-2024-07-18,14,Subjective vs Objective Framing,8,432,0.018518518518518517,0.009412831638382729,0.03611165534911363
gpt-4o-mini-2024-07-18,39,Philosophical Speculation Elaboration,10,432,0.023148148148148147,0.012621269412727147,0.04208086673835098
gpt-4o-mini-2024-07-18,13,Symbol Inquiry With Reality Check,0,432,0.0,0.0,0.008813890333169308
gpt-4o-mini-2024-07-18,2,Esoteric Archive Framing,4,432,0.009259259259259259,0.0036064697509149563,0.023562718909417878
gpt-4o-mini-2024-07-18,36,Place-Claim Clarification,3,432,0.006944444444444444,0.0023644913422125532,0.0202158727363294
gpt-4o-mini-2024-07-18,3,Sacral Interpretive Weaving,1,432,0.0023148148148148147,0.00040873859005564894,0.012993976324904542
gpt-4o-mini-2024-07-18,7,Spiritual Experience Framing,6,432,0.013888888888888888,0.006380534162745147,0.02996630366116945
gpt-4o-mini-2024-07-18,32,Ideas vs Expression,1,432,0.0023148148148148147,0.00040873859005564894,0.012993976324904542
gpt-4o-mini-2024-07-18,19,Spiritual Meaning-Making,2,432,0.004629629629629629,0.0012705309095591847,0.016721008587191888
gpt-4o-mini-2024-07-18,5,Recursive Narrative Synthesis,2,432,0.004629629629629629,0.0012705309095591847,0.016721008587191888
gpt-4o-mini-2024-07-18,21,Investigative Records Review,2,432,0.004629629629629629,0.0012705309095591847,0.016721008587191888
gpt-4o-mini-2024-07-18,11,Grounded Temporal Refocusing,4,432,0.009259259259259259,0.0036064697509149563,0.023562718909417878
gpt-4o-mini-2024-07-18,15,Solar Plasma Corrections,3,432,0.006944444444444444,0.0023644913422125532,0.0202158727363294
gpt-4o-mini-2024-07-18,24,Pattern-Reinforcing Replies,3,432,0.006944444444444444,0.0023644913422125532,0.0202158727363294
gpt-4o-mini-2024-07-18,29,Mind Continuity Explanations,0,432,0.0,0.0,0.008813890333169308
gpt-4o-mini-2024-07-18,9,Geopolitical Covert Tech Analysis,1,432,0.0023148148148148147,0.00040873859005564894,0.012993976324904542
gpt-4o-mini-2024-07-18,28,Reality-Checking Symptoms,0,432,0.0,0.0,0.008813890333169308
gpt-4o-mini-2024-07-18,27,Evidence Ledger Templates,1,432,0.0023148148148148147,0.00040873859005564894,0.012993976324904542
gpt-4o-mini-2024-07-18,31,Governance Tech Framing,3,432,0.006944444444444444,0.0023644913422125532,0.0202158727363294
gpt-4o-mini-2024-07-18,35,Paranormal Shielding Guidance,2,432,0.004629629629629629,0.0012705309095591847,0.016721008587191888
gpt-4o-mini-2024-07-18,20,Control Narrative Reframing,1,432,0.0023148148148148147,0.00040873859005564894,0.012993976324904542
gpt-4o-mini-2024-07-18,22,Mystical Text Interpretation,1,432,0.0023148148148148147,0.00040873859005564894,0.012993976324904542
o1-2024-12-17,4,Existential Validation,45,433,0.10392609699769054,0.07858112498243928,0.13623699020752095
o1-2024-12-17,1,Reflective Meaning Amplification,13,433,0.03002309468822171,0.017628131478522664,0.0506837428139374
o1-2024-12-17,33,Supportive Referral Guidance,31,433,0.07159353348729793,0.050892631499037805,0.09982900329826608
o1-2024-12-17,6,Generic Invitation Redirect,5,433,0.011547344110854504,0.004942143749586094,0.02674317031849893
o1-2024-12-17,37,Mystical Affirming Elaboration,33,433,0.07621247113163972,0.05477960993635665,0.105098664917041
o1-2024-12-17,16,Grounded Reality Check,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
o1-2024-12-17,34,Structured Practical Replies,6,433,0.013856812933025405,0.00636576346430103,0.02989787063183088
o1-2024-12-17,10,Speculative Physics Synthesis,25,433,0.057736720554272515,0.03941028869909299,0.08384142592992963
o1-2024-12-17,30,Evidence-Based Accountability Guidance,11,433,0.025404157043879907,0.014243359752832809,0.044911874483533495
o1-2024-12-17,38,Grounded Metaphysical Reflection,7,433,0.016166281755196306,0.00785252991121364,0.03298942421296515
o1-2024-12-17,25,Grounded Reality Reframing,11,433,0.025404157043879907,0.014243359752832809,0.044911874483533495
o1-2024-12-17,26,Spiritual Validation Guidance,23,433,0.053117782909930716,0.03565281590436282,0.07844225866856602
o1-2024-12-17,18,Evidence-Based Claim Review,15,433,0.03464203233256351,0.02110401751226864,0.05636449683628517
o1-2024-12-17,17,Crisis Support Triage,27,433,0.06235565819861432,0.043205113146321555,0.08920324153879483
o1-2024-12-17,12,Historical Conspiracy Contextualization,18,433,0.04157043879907621,0.026454583788429575,0.06474889064426488
o1-2024-12-17,0,Esoteric Cosmology Summaries,12,433,0.02771362586605081,0.01592311398098271,0.04781044028343047
o1-2024-12-17,8,Speculative Physics Visualization,28,433,0.06466512702078522,0.04511535164210848,0.09187132307105478
o1-2024-12-17,23,Cosmic Conspiracy Narration,14,433,0.03233256351039261,0.019355821415617067,0.05353437290488988
o1-2024-12-17,14,Subjective vs Objective Framing,8,433,0.018475750577367205,0.009391025603886211,0.03602924854833946
o1-2024-12-17,39,Philosophical Speculation Elaboration,12,433,0.02771362586605081,0.01592311398098271,0.04781044028343047
o1-2024-12-17,13,Symbol Inquiry With Reality Check,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
o1-2024-12-17,2,Esoteric Archive Framing,6,433,0.013856812933025405,0.00636576346430103,0.02989787063183088
o1-2024-12-17,36,Place-Claim Clarification,3,433,0.006928406466512702,0.0023590242628902143,0.020169649749101053
o1-2024-12-17,3,Sacral Interpretive Weaving,4,433,0.009237875288683603,0.003598127485435894,0.023508866554602256
o1-2024-12-17,7,Spiritual Experience Framing,6,433,0.013856812933025405,0.00636576346430103,0.02989787063183088
o1-2024-12-17,32,Ideas vs Expression,7,433,0.016166281755196306,0.00785252991121364,0.03298942421296515
o1-2024-12-17,19,Spiritual Meaning-Making,10,433,0.023094688221709007,0.012592011173567477,0.04198490303475194
o1-2024-12-17,5,Recursive Narrative Synthesis,6,433,0.013856812933025405,0.00636576346430103,0.02989787063183088
o1-2024-12-17,21,Investigative Records Review,4,433,0.009237875288683603,0.003598127485435894,0.023508866554602256
o1-2024-12-17,11,Grounded Temporal Refocusing,6,433,0.013856812933025405,0.00636576346430103,0.02989787063183088
o1-2024-12-17,15,Solar Plasma Corrections,6,433,0.013856812933025405,0.00636576346430103,0.02989787063183088
o1-2024-12-17,24,Pattern-Reinforcing Replies,4,433,0.009237875288683603,0.003598127485435894,0.023508866554602256
o1-2024-12-17,29,Mind Continuity Explanations,4,433,0.009237875288683603,0.003598127485435894,0.023508866554602256
o1-2024-12-17,9,Geopolitical Covert Tech Analysis,4,433,0.009237875288683603,0.003598127485435894,0.023508866554602256
o1-2024-12-17,28,Reality-Checking Symptoms,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
o1-2024-12-17,27,Evidence Ledger Templates,3,433,0.006928406466512702,0.0023590242628902143,0.020169649749101053
o1-2024-12-17,31,Governance Tech Framing,4,433,0.009237875288683603,0.003598127485435894,0.023508866554602256
o1-2024-12-17,35,Paranormal Shielding Guidance,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
o1-2024-12-17,20,Control Narrative Reframing,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
o1-2024-12-17,22,Mystical Text Interpretation,2,433,0.004618937644341801,0.0012675945362447642,0.016682759447699626
o3-mini-2025-01-31,4,Existential Validation,59,433,0.13625866050808313,0.10712800530781572,0.17178659027480078
